0,18 Mar 2018,Los Angeles Valiant,Boston Uprising,-104,-130
0,18 Mar 2018,London Spitfire,San Francisco Shock,-1429,+542
0,16 Mar 2018,Los Angeles Gladiators,Florida Mayhem,-500,+392
0,16 Mar 2018,Houston Outlaws,Los Angeles Gladiators,+185,-244
0,16 Mar 2018,Florida Mayhem,Los Angeles Valiant,+312,-417
0,16 Mar 2018,Shanghai Dragons,New York Excelsior,+1900,-10000
0,16 Mar 2018,Philadelphia Fusion,Shanghai Dragons,-1667,+725
0,16 Mar 2018,New York Excelsior,Seoul Dynasty,-137,+102
0,11 Mar 2018,Florida Mayhem,Dallas Fuel,+163,-222
0,10 Mar 2018,New York Excelsior,San Francisco Shock,-1429,+603
0,10 Mar 2018,London Spitfire,Los Angeles Gladiators,-909,+478
0,10 Mar 2018,Florida Mayhem,Houston Outlaws,+330,-476
0,10 Mar 2018,New York Excelsior,Philadelphia Fusion,-476,+326
0,09 Mar 2018,London Spitfire,Boston Uprising,-667,+412
0,09 Mar 2018,Boston Uprising,Shanghai Dragons,-625,+363
0,09 Mar 2018,Houston Outlaws,Los Angeles Valiant,-270,+198
0,08 Mar 2018,Philadelphia Fusion,Seoul Dynasty,+189,-263
0,08 Mar 2018,Los Angeles Valiant,Los Angeles Gladiators,-233,+179
0,08 Mar 2018,San Francisco Shock,Dallas Fuel,+183,-233
0,07 Mar 2018,Seoul Dynasty,Shanghai Dragons,-3333,+1264
0,03 Mar 2018,Shanghai Dragons,San Francisco Shock,+248,-345
0,03 Mar 2018,Houston Outlaws,New York Excelsior,+170,-238
0,03 Mar 2018,Philadelphia Fusion,London Spitfire,+204,-263
0,03 Mar 2018,Dallas Fuel,Los Angeles Valiant,-116,-112
0,03 Mar 2018,Los Angeles Gladiators,Seoul Dynasty,+419,-714
0,02 Mar 2018,Boston Uprising,Florida Mayhem,-476,+355
0,02 Mar 2018,New York Excelsior,Boston Uprising,-500,+334
0,02 Mar 2018,Houston Outlaws,Philadelphia Fusion,-256,+187
0,01 Mar 2018,Florida Mayhem,London Spitfire,+1057,-2500
0,01 Mar 2018,Los Angeles Gladiators,Shanghai Dragons,-526,+405
0,01 Mar 2018,Los Angeles Valiant,San Francisco Shock,-333,+244
0,28 Feb 2018,Seoul Dynasty,Dallas Fuel,-323,+438
0,25 Feb 2018,Shanghai Dragons,Los Angeles Valiant,+543,-1000
0,24 Feb 2018,Boston Uprising,Houston Outlaws,+192,-263
0,24 Feb 2018,Philadelphia Fusion,Florida Mayhem,-476,+328
0,24 Feb 2018,San Francisco Shock,Seoul Dynasty,+532,-1000
0,24 Feb 2018,Dallas Fuel,Los Angeles Gladiators,-116,+110
0,23 Feb 2018,London Spitfire,New York Excelsior,-145,+110
0,23 Feb 2018,Boston Uprising,Philadelphia Fusion,-244,+177
0,22 Feb 2018,Houston Outlaws,London Spitfire,+167,-233
0,22 Feb 2018,New York Excelsior,Florida Mayhem,-1667,+621
0,22 Feb 2018,Los Angeles Gladiators,San Francisco Shock,-200,+150
0,22 Feb 2018,Dallas Fuel,Shanghai Dragons,-625,+387
0,21 Feb 2018,Seoul Dynasty,Los Angeles Valiant,-172,+131
0,10 Feb 2018,Florida Mayhem,Philadelphia Fusion,+792,-2500
0,10 Feb 2018,Houston Outlaws,Boston Uprising,-185,+139
0,10 Feb 2018,New York Excelsior,London Spitfire,-175,+131
0,10 Feb 2018,Los Angeles Valiant,Shanghai Dragons,-2500,+791
0,10 Feb 2018,Seoul Dynasty,San Francisco Shock,-2000,+807
0,09 Feb 2018,Los Angeles Gladiators,Dallas Fuel,+187,+102
0,09 Feb 2018,London Spitfire,Houston Outlaws,+112,+148
0,08 Feb 2018,Florida Mayhem,New York Excelsior,+1311,-10000
0,08 Feb 2018,Philadelphia Fusion,Boston Uprising,+240,-286
0,08 Feb 2018,Los Angeles Valiant,Seoul Dynasty,+254,-385
0,08 Feb 2018,San Francisco Shock,Los Angeles Gladiators,-102,-112
0,07 Feb 2018,Shanghai Dragons,Dallas Fuel,+430,-625
0,03 Feb 2018,Boston Uprising,Los Angeles Valiant,+135,-175
0,03 Feb 2018,Dallas Fuel,New York Excelsior,+653,-1429
0,03 Feb 2018,Shanghai Dragons,London Spitfire,+1027,-5000
0,03 Feb 2018,Los Angeles Gladiators,Boston Uprising,+191,-263
0,03 Feb 2018,Seoul Dynasty,Houston Outlaws,-256,+191
0,02 Feb 2018,San Francisco Shock,Florida Mayhem,-294,+210
0,02 Feb 2018,London Spitfire,Seoul Dynasty,+208,-278
0,01 Feb 2018,New York Excelsior,Shanghai Dragons,-5000,+1096
0,01 Feb 2018,Philadelphia Fusion,Dallas Fuel,-172,+136
