,Unnamed: 0,id,team_one,team_two,stage,winner,date,corona_virus_isolation,t1_wins_season,t1_losses_season,t2_wins_season,t2_losses_season,t1_matches_season,t2_matches_season,t1_win_percent_season,t2_win_percent_season,t1_wins_alltime,t1_losses_alltime,t2_wins_alltime,t2_losses_alltime,t1_matches_alltime,t2_matches_alltime,t1_win_percent_alltime,t2_win_percent_alltime,t1_wins_last_3,t1_losses_last_3,t2_wins_last_3,t2_losses_last_3,t1_win_percent_last_3,t2_win_percent_last_3,t1_wins_last_5,t1_losses_last_5,t2_wins_last_5,t2_losses_last_5,t1_win_percent_last_5,t2_win_percent_last_5,t1_wins_last_10,t1_losses_last_10,t2_wins_last_10,t2_losses_last_10,t1_win_percent_last_10,t2_win_percent_last_10,t1_wins_last_20,t1_losses_last_20,t2_wins_last_20,t2_losses_last_20,t1_win_percent_last_20,t2_win_percent_last_20,t1_place_last_season,t2_place_last_season,t1_wins_vs_t2,t1_losses_vs_t2,t1_matches_vs_t2,t1_win_percent_vs_t2,winner_label
31,31,10254,Philadelphia Fusion,Shanghai Dragons,Overwatch League - Stage 1,Philadelphia Fusion,2018-01-27,False,3,2,0,5,5,5,0.6,0.0,3,2,0,5,5,5,0.6,0.0,2,1,0,3,0.6666666666666666,0.0,3,2,0,5,0.6,0.0,,,,,,,,,,,,,,,0,0,0,,0
32,32,10255,San Francisco Shock,Dallas Fuel,Overwatch League - Stage 1,Dallas Fuel,2018-01-27,False,2,3,0,4,5,4,0.4,0.0,2,3,0,4,5,4,0.4,0.0,1,2,0,3,0.3333333333333333,0.0,2,3,,,0.4,,,,,,,,,,,,,,,,0,0,0,,1
33,33,10256,Boston Uprising,Dallas Fuel,Overwatch League - Stage 1,Boston Uprising,2018-01-27,False,2,3,0,4,5,4,0.4,0.0,2,3,0,4,5,4,0.4,0.0,1,2,0,3,0.3333333333333333,0.0,2,3,,,0.4,,,,,,,,,,,,,,,,0,0,0,,0
34,34,10257,Florida Mayhem,Los Angeles Valiant,Overwatch League - Stage 1,Los Angeles Valiant,2018-01-27,False,1,4,3,2,5,5,0.2,0.6,1,4,3,2,5,5,0.2,0.6,1,2,1,2,0.3333333333333333,0.3333333333333333,1,4,3,2,0.2,0.6,,,,,,,,,,,,,,,0,0,0,,1
35,35,10258,Houston Outlaws,Los Angeles Gladiators,Overwatch League - Stage 1,Houston Outlaws,2018-01-27,False,3,2,2,3,5,5,0.6,0.4,3,2,2,3,5,5,0.6,0.4,3,0,1,2,1.0,0.3333333333333333,3,2,2,3,0.6,0.4,,,,,,,,,,,,,,,0,0,0,,0
36,36,10259,Philadelphia Fusion,Los Angeles Valiant,Overwatch League - Stage 1,Los Angeles Valiant,2018-02-01,False,4,2,4,2,6,6,0.6666666666666666,0.6666666666666666,4,2,4,2,6,6,0.6666666666666666,0.6666666666666666,2,1,2,1,0.6666666666666666,0.6666666666666666,3,2,3,2,0.6,0.6,,,,,,,,,,,,,,,0,0,0,,1
37,37,10260,Los Angeles Gladiators,Florida Mayhem,Overwatch League - Stage 1,Los Angeles Gladiators,2018-02-01,False,2,4,1,5,6,6,0.3333333333333333,0.16666666666666666,2,4,1,5,6,6,0.3333333333333333,0.16666666666666666,0,3,1,2,0.0,0.3333333333333333,1,4,1,4,0.2,0.2,,,,,,,,,,,,,,,0,0,0,,0
38,38,10261,San Francisco Shock,Houston Outlaws,Overwatch League - Stage 1,Houston Outlaws,2018-02-01,False,2,4,4,2,6,6,0.3333333333333333,0.6666666666666666,2,4,4,2,6,6,0.3333333333333333,0.6666666666666666,1,2,3,0,0.3333333333333333,1.0,2,3,4,1,0.4,0.8,,,,,,,,,,,,,,,0,0,0,,1
39,39,10262,Dallas Fuel,Philadelphia Fusion,Overwatch League - Stage 1,Philadelphia Fusion,2018-02-01,False,1,5,4,2,6,6,0.16666666666666666,0.6666666666666666,1,5,4,2,6,6,0.16666666666666666,0.6666666666666666,1,2,2,1,0.3333333333333333,0.6666666666666666,1,4,3,2,0.2,0.6,,,,,,,,,,,,,,,0,0,0,,1
40,40,10263,Shanghai Dragons,New York Excelsior,Overwatch League - Stage 1,New York Excelsior,2018-02-02,False,0,6,5,1,6,6,0.0,0.8333333333333334,0,6,5,1,6,6,0.0,0.8333333333333334,0,3,2,1,0.0,0.6666666666666666,0,5,4,1,0.0,0.8,,,,,,,,,,,,,,,0,0,0,,1
41,41,10264,Seoul Dynasty,London Spitfire,Overwatch League - Stage 1,London Spitfire,2018-02-02,False,5,1,5,1,6,6,0.8333333333333334,0.8333333333333334,5,1,5,1,6,6,0.8333333333333334,0.8333333333333334,2,1,2,1,0.6666666666666666,0.6666666666666666,4,1,4,1,0.8,0.8,,,,,,,,,,,,,,,0,0,0,,1
42,42,10265,Florida Mayhem,San Francisco Shock,Overwatch League - Stage 1,San Francisco Shock,2018-02-03,False,1,6,2,5,7,7,0.14285714285714285,0.2857142857142857,1,6,2,5,7,7,0.14285714285714285,0.2857142857142857,0,3,0,3,0.0,0.0,1,4,1,4,0.2,0.2,,,,,,,,,,,,,,,0,0,0,,1
43,43,10266,Houston Outlaws,Seoul Dynasty,Overwatch League - Stage 1,Seoul Dynasty,2018-02-03,False,5,2,5,2,7,7,0.7142857142857143,0.7142857142857143,5,2,5,2,7,7,0.7142857142857143,0.7142857142857143,3,0,1,2,1.0,0.3333333333333333,5,0,3,2,1.0,0.6,,,,,,,,,,,,,,,0,0,0,,1
44,44,10267,Boston Uprising,Los Angeles Gladiators,Overwatch League - Stage 1,Boston Uprising,2018-02-03,False,3,3,3,4,6,7,0.5,0.42857142857142855,3,3,3,4,6,7,0.5,0.42857142857142855,2,1,1,2,0.6666666666666666,0.3333333333333333,3,2,2,3,0.6,0.4,,,,,,,,,,,,,,,0,0,0,,0
45,45,10268,London Spitfire,Shanghai Dragons,Overwatch League - Stage 1,London Spitfire,2018-02-03,False,6,1,0,7,7,7,0.8571428571428571,0.0,6,1,0,7,7,7,0.8571428571428571,0.0,2,1,0,3,0.6666666666666666,0.0,4,1,0,5,0.8,0.0,,,,,,,,,,,,,,,0,0,0,,0
46,46,10269,New York Excelsior,Dallas Fuel,Overwatch League - Stage 1,New York Excelsior,2018-02-03,False,6,1,1,6,7,7,0.8571428571428571,0.14285714285714285,6,1,1,6,7,7,0.8571428571428571,0.14285714285714285,2,1,1,2,0.6666666666666666,0.3333333333333333,4,1,1,4,0.8,0.2,,,,,,,,,,,,,,,0,0,0,,0
47,47,10270,Los Angeles Valiant,Boston Uprising,Overwatch League - Stage 1,Boston Uprising,2018-02-03,False,5,2,3,3,7,6,0.7142857142857143,0.5,5,2,3,3,7,6,0.7142857142857143,0.5,3,0,2,1,1.0,0.6666666666666666,3,2,3,2,0.6,0.6,,,,,,,,,,,,,,,0,0,0,,1
48,48,10564,Dallas Fuel,Shanghai Dragons,Overwatch League - Stage 1,Dallas Fuel,2018-02-08,False,1,7,0,8,8,8,0.125,0.0,1,7,0,8,8,8,0.125,0.0,1,2,0,3,0.3333333333333333,0.0,1,4,0,5,0.2,0.0,,,,,,,,,,,,,,,0,0,0,,0
49,49,10565,Los Angeles Gladiators,San Francisco Shock,Overwatch League - Stage 1,Los Angeles Gladiators,2018-02-08,False,3,5,3,5,8,8,0.375,0.375,3,5,3,5,8,8,0.375,0.375,1,2,1,2,0.3333333333333333,0.3333333333333333,1,4,2,3,0.2,0.4,,,,,,,,,,,,,,,0,0,0,,0
50,50,10566,Seoul Dynasty,Los Angeles Valiant,Overwatch League - Stage 1,Los Angeles Valiant,2018-02-08,False,6,2,5,3,8,8,0.75,0.625,6,2,5,3,8,8,0.75,0.625,1,2,2,1,0.3333333333333333,0.6666666666666666,3,2,3,2,0.6,0.6,,,,,,,,,,,,,,,0,0,0,,1
51,51,10567,Boston Uprising,Philadelphia Fusion,Overwatch League - Stage 1,Boston Uprising,2018-02-08,False,5,3,5,3,8,8,0.625,0.625,5,3,5,3,8,8,0.625,0.625,3,0,2,1,1.0,0.6666666666666666,4,1,3,2,0.8,0.6,,,,,,,,,,,,,,,0,0,0,,0
52,52,10568,New York Excelsior,Florida Mayhem,Overwatch League - Stage 1,New York Excelsior,2018-02-09,False,7,1,1,7,8,8,0.875,0.125,7,1,1,7,8,8,0.875,0.125,3,0,0,3,1.0,0.0,4,1,1,4,0.8,0.2,,,,,,,,,,,,,,,0,0,0,,0
53,53,10569,Houston Outlaws,London Spitfire,Overwatch League - Stage 1,Houston Outlaws,2018-02-09,False,5,3,7,1,8,8,0.625,0.875,5,3,7,1,8,8,0.625,0.875,2,1,3,0,0.6666666666666666,1.0,4,1,4,1,0.8,0.8,,,,,,,,,,,,,,,0,0,0,,0
54,54,10570,Dallas Fuel,Los Angeles Gladiators,Overwatch League - Stage 1,Dallas Fuel,2018-02-10,False,2,7,4,5,9,9,0.2222222222222222,0.4444444444444444,2,7,4,5,9,9,0.2222222222222222,0.4444444444444444,1,2,2,1,0.3333333333333333,0.6666666666666666,2,3,2,3,0.4,0.4,,,,,,,,,,,,,,,0,0,0,,0
55,55,10571,San Francisco Shock,Seoul Dynasty,Overwatch League - Stage 1,Seoul Dynasty,2018-02-10,False,3,6,6,3,9,9,0.3333333333333333,0.6666666666666666,3,6,6,3,9,9,0.3333333333333333,0.6666666666666666,1,2,1,2,0.3333333333333333,0.3333333333333333,1,4,2,3,0.2,0.4,,,,,,,,,,,,,,,0,0,0,,1
56,56,10572,Shanghai Dragons,Los Angeles Valiant,Overwatch League - Stage 1,Los Angeles Valiant,2018-02-10,False,0,9,6,3,9,9,0.0,0.6666666666666666,0,9,6,3,9,9,0.0,0.6666666666666666,0,3,2,1,0.0,0.6666666666666666,0,5,4,1,0.0,0.8,,,,,,,,,,,,,,,0,0,0,,1
