,id,team_one,team_two,stage,winner,date
87,10303,Dallas Fuel,San Francisco Shock,Overwatch League - Stage 2,San Francisco Shock,3/8/2018
88,10304,Los Angeles Gladiators,Los Angeles Valiant,Overwatch League - Stage 2,Los Angeles Gladiators,3/8/2018
89,10305,Seoul Dynasty,Philadelphia Fusion,Overwatch League - Stage 2,Seoul Dynasty,3/9/2018
90,10306,Los Angeles Valiant,Houston Outlaws,Overwatch League - Stage 2,Los Angeles Valiant,3/9/2018
91,10307,Shanghai Dragons,Boston Uprising,Overwatch League - Stage 2,Boston Uprising,3/9/2018
92,10308,Boston Uprising,London Spitfire,Overwatch League - Stage 2,London Spitfire,3/10/2018
93,10309,Philadelphia Fusion,New York Excelsior,Overwatch League - Stage 2,New York Excelsior,3/10/2018
94,10310,Houston Outlaws,Florida Mayhem,Overwatch League - Stage 2,Houston Outlaws,3/10/2018
95,10311,Los Angeles Gladiators,London Spitfire,Overwatch League - Stage 2,Los Angeles Gladiators,3/10/2018
96,10312,San Francisco Shock,New York Excelsior,Overwatch League - Stage 2,New York Excelsior,3/10/2018
97,10313,Dallas Fuel,Florida Mayhem,Overwatch League - Stage 2,Florida Mayhem,3/11/2018
98,10314,Dallas Fuel,Boston Uprising,Overwatch League - Stage 2,Boston Uprising,3/14/2018
99,10315,Seoul Dynasty,New York Excelsior,Overwatch League - Stage 2,New York Excelsior,3/15/2018
100,10316,Shanghai Dragons,Philadelphia Fusion,Overwatch League - Stage 2,Philadelphia Fusion,3/15/2018
101,10317,New York Excelsior,Shanghai Dragons,Overwatch League - Stage 2,New York Excelsior,3/15/2018
102,10318,Los Angeles Valiant,Florida Mayhem,Overwatch League - Stage 2,Florida Mayhem,3/16/2018
103,10319,Los Angeles Gladiators,Houston Outlaws,Overwatch League - Stage 2,Los Angeles Gladiators,3/16/2018
104,10320,Florida Mayhem,Los Angeles Gladiators,Overwatch League - Stage 2,Los Angeles Gladiators,3/16/2018
105,10321,San Francisco Shock,London Spitfire,Overwatch League - Stage 2,London Spitfire,3/17/2018
106,10322,Boston Uprising,Los Angeles Valiant,Overwatch League - Stage 2,Boston Uprising,3/17/2018
107,10323,London Spitfire,Seoul Dynasty,Overwatch League - Stage 2,London Spitfire,3/17/2018
108,10324,Houston Outlaws,San Francisco Shock,Overwatch League - Stage 2,San Francisco Shock,3/17/2018
109,10325,Philadelphia Fusion,Dallas Fuel,Overwatch League - Stage 2,Philadelphia Fusion,3/18/2018
