,Unnamed: 0,id,team_one,team_two,stage,winner,date,corona_virus_isolation,t1_wins_season,t1_losses_season,t2_wins_season,t2_losses_season,t1_matches_season,t2_matches_season,t1_win_percent_season,t2_win_percent_season,t1_wins_alltime,t1_losses_alltime,t2_wins_alltime,t2_losses_alltime,t1_matches_alltime,t2_matches_alltime,t1_win_percent_alltime,t2_win_percent_alltime,t1_wins_last_3,t1_losses_last_3,t2_wins_last_3,t2_losses_last_3,t1_win_percent_last_3,t2_win_percent_last_3,t1_wins_last_5,t1_losses_last_5,t2_wins_last_5,t2_losses_last_5,t1_win_percent_last_5,t2_win_percent_last_5,t1_wins_last_10,t1_losses_last_10,t2_wins_last_10,t2_losses_last_10,t1_win_percent_last_10,t2_win_percent_last_10,t1_wins_last_20,t1_losses_last_20,t2_wins_last_20,t2_losses_last_20,t1_win_percent_last_20,t2_win_percent_last_20,t1_place_last_season,t2_place_last_season,t1_wins_vs_t2,t1_losses_vs_t2,t1_matches_vs_t2,t1_win_percent_vs_t2,winner_label,t1_odds,t2_odds
26,26,10249,Los Angeles Valiant,Los Angeles Gladiators,Overwatch League - Stage 1,Los Angeles Valiant,2018-01-25,False,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5,1.0,2.0,1.0,2.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,-625,379
27,27,10250,London Spitfire,Boston Uprising,Overwatch League - Stage 1,Boston Uprising,2018-01-25,False,4.0,0.0,1.0,3.0,4.0,4.0,1.0,0.25,4.0,0.0,1.0,3.0,4.0,4.0,1.0,0.25,3.0,0.0,1.0,2.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,,
28,28,10251,New York Excelsior,Philadelphia Fusion,Overwatch League - Stage 1,Philadelphia Fusion,2018-01-26,False,4.0,0.0,2.0,2.0,4.0,4.0,1.0,0.5,4.0,0.0,2.0,2.0,4.0,4.0,1.0,0.5,3.0,0.0,1.0,2.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,,
29,29,10252,Florida Mayhem,Houston Outlaws,Overwatch League - Stage 1,Houston Outlaws,2018-01-26,False,1.0,3.0,2.0,2.0,4.0,4.0,0.25,0.5,1.0,3.0,2.0,2.0,4.0,4.0,0.25,0.5,1.0,2.0,2.0,1.0,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,353,-556
30,30,10253,New York Excelsior,Seoul Dynasty,Overwatch League - Stage 1,New York Excelsior,2018-01-27,False,4.0,1.0,5.0,0.0,5.0,5.0,0.8,1.0,4.0,1.0,5.0,0.0,5.0,5.0,0.8,1.0,2.0,1.0,3.0,0.0,0.6666666666666666,1.0,4.0,1.0,5.0,0.0,0.8,1.0,,,,,,,,,,,,,,,0,0,0,,0,,
31,31,10254,Philadelphia Fusion,Shanghai Dragons,Overwatch League - Stage 1,Philadelphia Fusion,2018-01-27,False,3.0,2.0,0.0,5.0,5.0,5.0,0.6,0.0,3.0,2.0,0.0,5.0,5.0,5.0,0.6,0.0,2.0,1.0,0.0,3.0,0.6666666666666666,0.0,3.0,2.0,0.0,5.0,0.6,0.0,,,,,,,,,,,,,,,0,0,0,,0,-1667,747
32,32,10255,San Francisco Shock,Dallas Fuel,Overwatch League - Stage 1,Dallas Fuel,2018-01-27,False,2.0,3.0,0.0,4.0,5.0,4.0,0.4,0.0,2.0,3.0,0.0,4.0,5.0,4.0,0.4,0.0,1.0,2.0,0.0,3.0,0.3333333333333333,0.0,2.0,3.0,,,0.4,,,,,,,,,,,,,,,,0,0,0,,1,206,-270
33,33,10256,Boston Uprising,Dallas Fuel,Overwatch League - Stage 1,Boston Uprising,2018-01-27,False,2.0,3.0,0.0,4.0,5.0,4.0,0.4,0.0,2.0,3.0,0.0,4.0,5.0,4.0,0.4,0.0,1.0,2.0,0.0,3.0,0.3333333333333333,0.0,2.0,3.0,,,0.4,,,,,,,,,,,,,,,,0,0,0,,0,-139,106
34,34,10257,Florida Mayhem,Los Angeles Valiant,Overwatch League - Stage 1,Los Angeles Valiant,2018-01-27,False,1.0,4.0,3.0,2.0,5.0,5.0,0.2,0.6,1.0,4.0,3.0,2.0,5.0,5.0,0.2,0.6,1.0,2.0,1.0,2.0,0.3333333333333333,0.3333333333333333,1.0,4.0,3.0,2.0,0.2,0.6,,,,,,,,,,,,,,,0,0,0,,1,711,-1429
35,35,10258,Houston Outlaws,Los Angeles Gladiators,Overwatch League - Stage 1,Houston Outlaws,2018-01-27,False,3.0,2.0,2.0,3.0,5.0,5.0,0.6,0.4,3.0,2.0,2.0,3.0,5.0,5.0,0.6,0.4,3.0,0.0,1.0,2.0,1.0,0.3333333333333333,3.0,2.0,2.0,3.0,0.6,0.4,,,,,,,,,,,,,,,0,0,0,,0,-233,174
